degree,noise,mse,r2
1,0,0.024835736000572668,0.6962811753944411
1,0.1,0.03390430853755859,0.6354134792856678
1,0.5,0.30169791029121906,0.16007590632448965
1,1.0,1.0495047577185885,0.012462088412998895
2,0,0.018186286116062725,0.7775979965730186
2,0.1,0.027377092617262115,0.7098911538663295
2,0.5,0.28510023867049744,0.20487104759573926
2,1.0,1.007616741525031,0.005927853910487557
3,0,0.007894136909836204,0.903461770431304
3,0.1,0.019635602925036938,0.7793519966119962
3,0.5,0.29203655756938085,0.15505535711850993
3,1.0,1.1316450547226264,0.024622978127752937
4,0,0.00421828583298518,0.9484141394072236
4,0.1,0.015357830679748748,0.8294395138406354
4,0.5,0.27924192042864876,0.14658187324014582
4,1.0,0.9116348322335803,0.07406684989726975
5,0,0.0023133431528830034,0.9717098835610612
5,0.1,0.012739675915812314,0.8642281453926639
5,0.5,0.2441171947628098,0.25551125400414876
5,1.0,1.043293594052257,0.05758164000981958
