degree,lambda,noise,mse,r2
1,0,0,0.024767844605714198,0.6971114263943217
1,0.0001,0,0.024767844607420333,0.6971114263734572
1,0.001,0,0.024767844776313667,0.6971114243080428
1,0.01,0,0.02476786165207927,0.6971112179325325
1,0.1,0,0.02476953574971795,0.697090745216641
1,1,0,0.02492430668031307,0.6951980352473301
1,0,0.1,0.03334228597693235,0.6315240158722337
1,0.0001,0.1,0.03334228597865865,0.6315240158531559
1,0.001,0.1,0.033342286149549344,0.6315240139645897
1,0.01,0.1,0.033342303224878626,0.631523825259809
1,0.1,0.1,0.03334399710872055,0.6315051056220469
1,1,0.1,0.0335005875636684,0.6297745757468054
1,0,0.5,0.25536226066511064,0.16766750127597563
1,0.0001,0.5,0.2553622606667418,0.1676675012706591
1,0.001,0.5,0.2553622608282132,0.1676675007443562
1,0.01,0.5,0.25536227696237446,0.16766744815637102
1,0.1,0.5,0.2553638774858765,0.16766223138032021
1,1,0.5,0.2555118412893329,0.16717995540919262
1,0,1.0,1.083981821903241,0.031248231888625688
1,0.0001,1.0,1.0839818219043942,0.031248231887595068
1,0.001,1.0,1.083981822018562,0.031248231785563574
1,0.01,1.0,1.0839818334261588,0.03124822159062368
1,0.1,1.0,1.08398296506492,0.031247210247971502
1,1,1.0,1.0840875772304233,0.031153718624542415
2,0,0,0.017876033188521948,0.7813921122167405
2,0.0001,0,0.0178760332321641,0.781392111683036
2,0.001,0,0.01787603754606328,0.7813920589279097
2,0.01,0,0.0178764623623001,0.7813868638055218
2,0.1,0,0.017913193752723995,0.7809376717733059
2,1,0,0.01928602191869866,0.7641492119126593
2,0,0.1,0.02684666699354078,0.7041194000744708
2,0.0001,0.1,0.02684666702995099,0.7041193996731892
2,0.001,0.1,0.02684667062926565,0.7041193600046752
2,0.01,0.1,0.026847025341921463,0.7041154506704763
2,0.1,0.1,0.026877917087087227,0.703774988739221
2,1,0.1,0.028091133583789035,0.6904039723307391
2,0,0.5,0.23894872468866157,0.2138686819385589
2,0.0001,0.5,0.23894872475423948,0.21386868172281026
2,0.001,0.5,0.2389487312355466,0.21386866039958075
2,0.01,0.5,0.2389493686295586,0.21386656339991927
2,0.1,0.5,0.23900378240605963,0.21368754434929582
2,1,0.5,0.2408782239813314,0.20752070990346416
2,0,1.0,0.9773298315789439,0.05642832066541492
2,0.0001,1.0,0.9773298316546556,0.056428320592318504
2,0.001,1.0,0.9773298391384904,0.056428313366984395
2,0.01,1.0,0.9773305760850277,0.056427601875470135
2,0.1,1.0,0.9773942824044605,0.05636609604921872
2,1,1.0,0.9797846745472557,0.054058270936788055
3,0,0,0.007728893224236147,0.9054825528217588
3,0.0001,0,0.007728942527033204,0.9054819498926742
3,0.001,0,0.007733606998502833,0.905424907581058
3,0.01,0,0.008046531951993294,0.9015981154512946
3,0.1,0,0.012239571271606443,0.8503209971227526
3,1,0,0.01822543929381945,0.777119188249095
3,0,0.1,0.018195918989189933,0.8021896455354187
3,0.0001,0.1,0.018195970795818472,0.8021890823383875
3,0.001,0.1,0.0182008701049259,0.8021358212707961
3,0.01,0.1,0.018528311869843894,0.7985761565117138
3,0.1,0.1,0.022837500488512942,0.7517303704527589
3,1,0.1,0.028761431061971533,0.6873305010504176
3,0,0.5,0.27351605683324626,0.20161324509059908
3,0.0001,0.5,0.2735160766273274,0.20161318731215494
