degree,lambda,mse,r2
5,0,28869.585706005313,0.6389787407222496
5,0.1,28869.58570604077,0.6389787407218062
5,1,28869.585709549083,0.6389787406779339
5,2,28869.585720172046,0.6389787405450911
5,5,28869.585794388833,0.6389787396169919
5,10,28869.586058502,0.6389787363141919
6,0,27875.55281800679,0.6514093661092317
6,0.1,27875.552818014774,0.6514093661091318
6,1,27875.55281884309,0.6514093660987736
6,2,27875.55282134714,0.6514093660674598
6,5,27875.55283886813,0.6514093658483555
6,10,27875.552900941548,0.6514093650721122
7,0,27154.96589361861,0.6604204825662159
7,0.1,27154.965894195335,0.6604204825590039
7,1,27154.965953271854,0.6604204818202375
7,2,27154.966134135735,0.6604204795584903
7,5,27154.967386419183,0.6604204638983782
7,10,27154.971819200153,0.6604204084653635
8,0,26460.991802451015,0.669098799007984
8,0.1,26460.99167383808,0.6690988006163203
8,1,26460.999821757563,0.6690986987245862
8,2,26460.99148888355,0.6690988029292222
8,5,26460.99285450153,0.669098785851834
8,10,26460.995889793725,0.6690987478947596
9,0,25264.863812911575,0.6840566732718695
9,0.1,25262.822820325095,0.6840821963854067
9,1,25270.840656579767,0.6839819313739576
9,2,25266.756873056478,0.6840330000898446
9,5,25262.16386829579,0.6840904367423639
9,10,25254.585097878593,0.684185211127686
10,0,24711.43240703757,0.6909774689184425
10,0.1,24630.712108926113,0.6919868960702638
10,1,25019.985169735268,0.6871189408440483
10,2,24642.973390726907,0.6918335657301211
10,5,24672.585306615314,0.691463261449605
10,10,24649.54242376086,0.6917514183587556
